axis,low_tier,high_tier,n_dates,MAE_low,MAE_high,corr_low,corr_high,corr_diff,corr_diff_se,corr_diff_p,MAE_reduction_low_pct,MAE_reduction_high_pct,MAE_reduction_diff,MAE_reduction_diff_se,MAE_reduction_diff_p
volatility,T1_low,T3_high,72,5.289269249270105,8.548711401207054,0.16490975211861206,0.17466638454169728,0.01674592013188657,0.007655761959990134,0.03201075497778681,1.4872647789244193,2.1647033097985964,0.6654833566542208,0.11601692683638046,2.1972058063581138e-07
liquidity,T1_low,T3_high,72,7.774691561430204,5.3930724364968325,0.1658078075295564,0.18282533148352303,0.02363225625126015,0.006878395765341874,0.0009911269136137137,1.7067728604416637,1.9960090332616178,0.3243899325974101,0.10003313734783748,0.0018045944797394694
imbalance_magnitude,T1_low,T3_high,72,5.873572786851653,6.988651740165028,0.18735410964867988,0.1735636924170722,-0.012682724109960837,0.008144374264294136,0.12386073622184311,1.8755132158947943,1.9191370187232486,0.01891092177428551,0.11421032591959039,0.8689582280369178
