tier,n_rows,n_auctions,MAE,RMSE,corr,directional_accuracy,MAE_zero_baseline,MAE_reduction_vs_zero_pct,share_of_val_auctions_pct,corr_se_by_date,MAE_reduction_se_by_date
T1_low,259765,4723,7.774691561430204,11.643609950770214,0.1658078075295564,0.5521798548688237,7.909692038487626,1.7067728604416637,32.80088895062157,0.005907622696991752,0.08277124514059607
T2_mid,261085,4747,5.97461545325791,8.498880282808322,0.18396650720370988,0.557772372981979,6.093983676581138,1.9587880384706955,32.96756719216612,0.004093122570812823,0.08040680911913856
T3_high,271095,4929,5.3930724364968325,8.063270764149578,0.18282533148352303,0.5584131024179716,5.502911037905783,1.9960090332616178,34.23154385721231,0.004394922666554256,0.0737137753861701
