stock_id,n_val_rows,MAE,RMSE,corr,directional_accuracy,MAE_zero_baseline,MAE_reduction_vs_zero_pct,mean_spread,mean_matched_size,mean_realized_vol,mean_abs_imbalance_ratio,n_obs
0,3960,4.287061981819489,6.018083544661694,0.11495148441526677,0.522979797979798,4.29954582988106,0.29035271527542045,0.0002307688852813851,24746275.868203465,0.00029383149067241203,0.19999105893784713,18480
1,3960,8.627606407877249,11.290260309457445,0.31949146338935774,0.6073232323232324,9.080239167412879,4.984810985596466,0.0009313516774891769,3121523.0850752164,0.0005817109530703872,0.18008215553007498,18480
2,3960,6.684981434833253,8.994312386809339,0.27052050744067035,0.615909090909091,7.047328831791415,5.141627496131101,0.0010057686688311693,4720145.176887446,0.0005509665652303057,0.21002644062777776,18480
3,3960,3.767235890885284,5.075355709908693,0.20803969842029507,0.5553030303030303,3.8308596066386364,1.6608208675435792,0.00023140156926406964,68473941.90481764,0.00028958758913227015,0.16993093925183914,18480
4,3960,3.9490182060805843,5.30322259327022,0.18343206798207934,0.546969696969697,4.0154103323785355,1.6534331687746522,0.00028285064935064836,25991910.7475671,0.0003402157412619979,0.20908948382359724,18480
5,3960,8.464140270148441,11.708211547870425,0.11890567876433784,0.5257575757575758,8.506305148147728,0.495689694467035,0.0005103812770562783,17104829.920502707,0.0005156897320789114,0.22335852887615115,18480
6,3960,5.9591533298665835,7.866887678523594,0.28213453155812657,0.6032828282828283,6.217879931447222,4.16100993317862,0.0009251801406926404,12280318.121474026,0.0005201601960244358,0.20441015002645213,18480
7,3960,5.837151163236457,7.943981280215878,0.2668656592607145,0.6108585858585859,6.147613879609848,5.050133636452364,0.0005943484307359304,66995529.7355606,0.0005172017664026075,0.18145061550906735,18480
8,3960,5.400279241902749,7.1480354745620875,0.34134560311357043,0.6237373737373737,5.784289401821464,6.638847630925786,0.0009864378246753252,49166330.26522024,0.0005520925544845508,0.20342356061640487,18480
9,3960,5.33964548916481,7.514534030084317,0.21603572610415336,0.543939393939394,5.397487172533839,1.071640960322562,0.00025389686147186057,13020015.783816557,0.00030423556809517304,0.24344180035136373,18480
10,3960,4.563635372078014,6.223478580305514,0.14262113687195085,0.5482323232323232,4.619878800159343,1.2174221557368343,0.0003881505952380949,14257749.189944265,0.0003171141884847235,0.18979751786083465,18480
11,3960,12.815384733326352,17.993051320293162,0.13014210824898143,0.5411616161616162,12.949865281198234,1.0384706323326154,0.0006536857142857143,13616336.497515151,0.0006827534822907353,0.37387405972163307,18480
12,3960,4.130137371622062,5.596511780233178,0.20973077604219714,0.5492424242424242,4.19027877604798,1.4352602211025014,0.0002667393398268395,91067145.901079,0.0002923433402097303,0.17077947461131607,18480
13,3960,6.090617267894411,8.624675880133664,0.1289093002032377,0.5502525252525252,6.151210625025757,0.9850639300957589,0.00044080075757575683,22877777.956280846,0.0004473935434341081,0.21744726788119925,18480
14,3960,4.23827859561133,5.714969377190922,0.21385995225592444,0.5757575757575758,4.349156313163636,2.549407507306904,0.0003597701839826828,118351522.6582132,0.00039185091155793825,0.14380605315108885,18480
15,3960,5.467935802856017,7.462127081837911,0.17073557761350927,0.5611111111111111,5.555330800758082,1.5731736063339161,0.0003131219155844151,44268316.73134037,0.0004365379722944162,0.2687931048824065,18480
16,3960,5.83420978603114,7.716446931915172,0.33567131111126625,0.6164141414141414,6.183970459454545,5.655924065559902,0.0009208101190476179,12348421.050227813,0.0005064425548163698,0.18385847294954893,18480
17,3960,5.792756535398507,7.6223978097599225,0.2907589845078888,0.5957070707070707,6.073363206636616,4.620284703728548,0.0006366684523809523,57963620.8634145,0.0005181747425891234,0.22799470122083537,18480
18,3960,9.469804534690493,13.323597642700268,0.10790417846386388,0.5164141414141414,9.512556616730809,0.449427885297661,0.00043155773809523755,14464207.989238637,0.0005136529379397453,0.40572929540575015,18480
19,3960,8.338060251517211,11.208557973613878,0.2559416180473574,0.5916666666666667,8.666848288377777,3.7936286170079794,0.001014481872294372,11230739.330540044,0.0005967688930879418,0.4257367292962268,18480
20,3960,4.81528704119581,6.314605894288372,0.29256365693693104,0.5936868686868687,5.01697533209293,4.020117252858435,0.0005703482142857144,15300008.566346863,0.0004200848209140823,0.22136123483678835,18480
21,3960,4.969526288841147,6.81899610856759,0.15302392526491254,0.553030303030303,5.0420503720648995,1.43838474176234,0.0002867724025974032,7223570.450476191,0.00027169118258627326,0.331017311927801,18480
22,3960,6.648144500747837,8.91579738873129,0.11786862546245509,0.5484848484848485,6.714011082840404,0.9810317748939659,0.00025487451298701326,38964629.85047294,0.00045945422059949617,0.26135773186369227,18480
23,3960,5.425364383890378,7.468948904667185,0.13917018496309513,0.5583333333333333,5.4958471779931815,1.2824736900442735,0.00033913008658008624,27114758.43972186,0.000394975018476225,0.1964539598534752,18480
24,3960,4.557119019714235,6.123777252094439,0.15168703716049303,0.5482323232323232,4.635229109371212,1.6851397808807227,0.0002812048701298712,17757646.30233766,0.000285559339991104,0.20821536105740066,18480
25,3960,5.256925278740885,7.002513876877787,0.21956859213709343,0.5765151515151515,5.387116863950758,2.41672101233003,0.00037568143939393947,18846672.87560552,0.00032481290466375966,0.2437704384518167,18480
26,3960,5.139598703298512,7.927590771179538,0.024978820826087583,0.5151515151515151,5.1105309860047985,-0.5687807660948682,0.000692444859307359,12380408.021060606,0.0002892792746983954,0.22311454601547487,18480
27,3960,6.0816012363430865,8.871956184121393,0.19254047189045753,0.5858585858585859,6.288761301543939,3.2941314714869736,0.00047259567099567176,16659707.654448053,0.00043909653869729645,0.2261730450125534,18480
28,3960,5.79380795878153,7.830787812675463,0.16624166865191367,0.5452020202020202,5.848242328247223,0.9307817017563254,0.00036834117965367996,22444192.713789504,0.0004436344572617781,0.21973536361258522,18480
29,3960,5.244414958823983,6.998230036678059,0.27723405078931235,0.598989898989899,5.487532630532828,4.430364028381889,0.00063259788961039,30483498.329247292,0.00039597718461527467,0.20041651776484354,18480
30,3960,5.20695574314198,7.215803331643523,0.09685805018963291,0.5040404040404041,5.213964917838131,0.13443079895246285,0.00022277218614718581,9960171.081714828,0.00027186818001478463,0.2532393573727159,18480
31,3960,13.542625096190845,21.590547332673435,0.12912866620411736,0.5381313131313131,13.619434501320203,0.5639691216394694,0.001579297564935065,1581331.7137040044,0.0005053782983632849,0.37581340388495993,18480
32,3960,4.9050759197127745,6.855383354965425,0.10872083001958929,0.5426767676767676,4.949883081413131,0.9052165670055545,0.0002727436147186147,13287103.397595238,0.000307592442863743,0.20323546356748853,18480
33,3960,7.957286242627772,10.338733604121584,0.1733551893922761,0.5588383838383838,8.095724576675506,1.7100178339390053,0.0005423902056277053,5878437.424750541,0.0005153758960732993,0.2115635758359751,18480
34,3960,5.733267175450529,7.653314646753109,0.2896967300927649,0.6176767676767677,6.044571746665909,5.1501509827737655,0.0006967389610389613,44901345.14972565,0.00043755949997694625,0.20332212941596267,18480
35,3960,4.3742534223473255,5.770763413734439,0.08955355826845943,0.5116161616161616,4.369249093857324,-0.11453520690860591,0.0002259470238095236,20587737.27131331,0.0003169849763526357,0.22421492523698808,18480
36,3960,5.468165455308618,7.376742034162978,0.08251849910548247,0.5335858585858586,5.501656826075758,0.6087506332347563,0.0003090529220779224,43037956.56328517,0.00034191924971176395,0.45916677875443895,18480
37,3960,4.316854220000184,6.119244331319929,0.22817873830394236,0.5843434343434344,4.463515798477021,3.2857860282891544,0.0003227985930735929,53536851.890400976,0.0003138943759756712,0.1796256256757566,18480
38,3960,5.207330836851179,7.00893734953831,0.1334917088046876,0.5391414141414141,5.259721422685858,0.9960714955113615,0.00015575833333333406,55279415.99911742,0.0002266413194978235,0.33299743389717407,18480
39,3960,4.347483196528704,5.765158108770183,0.2972382680128138,0.6176767676767677,4.608959562279545,5.673218916711814,0.0005785138528138526,22163098.890671536,0.00037814281208798853,0.18976543038314198,18480
40,3960,6.753009127365723,9.091756415346067,0.12057160124781917,0.5396464646464646,6.792503926233586,0.5814468316363945,0.00036591699134199145,10369168.115162339,0.0004535319265964369,0.2797627747499689,18480
41,3960,5.360129169903255,6.995378091924771,0.17847776503381427,0.5603535353535354,5.452160433360858,1.6879779049508483,0.00020116314935064912,303832109.24456066,0.00047750046212177016,0.13879654681150713,18480
42,3960,8.83445914050959,11.439967829800377,0.3590891644556488,0.6174242424242424,9.43344214145707,6.349569880914767,0.001272369534632034,6037183.795496212,0.0007019880819856222,0.18100467312388685,18480
43,3960,5.4919112105140195,7.873113175751564,0.15621479541199715,0.5714646464646465,5.610812190798485,2.119140264210914,0.0005083621212121204,9308579.801938852,0.0003460810494426193,0.22630658486479993,18480
44,3960,4.784380698000465,6.7546670563674285,0.18793163535604768,0.5583333333333333,4.871570098476262,1.7897597430255223,0.00033191866883116965,32578054.853031386,0.000309482245226582,0.18802365500911458,18480
45,3960,3.478903267670821,5.014247332522252,0.1342475887283372,0.5351010101010101,3.5025980166287884,0.6764906747926916,9.15155844155845e-05,788676050.243789,0.000327617722813255,0.11277801416532511,18480
46,3960,6.005346538031346,8.066116280612322,0.21827025653049037,0.5603535353535354,6.154306157140656,2.4204128833674736,0.001205202976190476,12946599.23632684,0.0005968121106049149,0.20366780853807748,18480
47,3960,5.864973053968942,8.070517728289289,0.15228866775988853,0.575,5.981148341986112,1.9423575770834665,0.0005111626082251082,4689324.32645184,0.00040416946132196263,0.24620325898915607,18480
48,3960,5.369424406956546,7.231201599585692,0.17336265683710975,0.552020202020202,5.462621045044697,1.706079138927135,0.0004125715367965369,25956264.748252165,0.00041293139098781564,0.29121792415908043,18480
49,3960,5.916860490035727,9.3844338167816,0.07123733580249093,0.5287878787878788,5.932760363155555,0.26800127000867385,0.00026159853896103963,15225359.228572512,0.00029890748493260536,0.18793702115738609,18480
50,3960,6.549382433276009,8.83469719070537,0.09867484069613369,0.5207070707070707,6.5686138327292936,0.2927771359835516,0.00042737543290043264,35809185.66265206,0.0004812046151058614,0.1987231550775484,18480
51,3960,8.866101189508838,12.13993455018441,0.10145347218928694,0.5272727272727272,8.89080266114192,0.2778317388714879,0.000474451352813853,13851621.753872836,0.0005393064741818509,0.33520822695280117,18480
52,3960,5.525552121619845,9.397550503253793,0.18858346953081112,0.5669191919191919,5.641664675601515,2.0581257600052187,0.00046619274891774817,10946155.406698594,0.00035077574595795524,0.20515260479309858,18480
53,3960,4.37535707475341,6.710523250178032,0.05987537296786652,0.5424242424242425,4.421215614383334,1.0372382536769835,0.00022650627705627703,33923111.755833335,0.00033059965670010233,0.19718352285184196,18480
54,3960,4.9970821945864685,6.574599583574111,0.31576131049576706,0.6055555555555555,5.264782695729293,5.084739800561549,0.0005779672077922069,31296327.99844643,0.00044239926945216723,0.17281903258705572,18480
55,3960,4.114061283360887,5.543646930995981,0.13133923767137784,0.533080808080808,4.14951265972904,0.8543503605184256,0.00022503825757575784,20578567.6905092,0.0002868347552617337,0.1737942689460997,18480
56,3960,6.938540571260733,9.359113959614854,0.15460089283885856,0.552020202020202,7.038625809842677,1.421942880412639,0.0004632917207792206,17461431.77154383,0.0005210614360401338,0.23234480295292542,18480
57,3960,5.657430199901438,7.43119817621861,0.31924649441492253,0.602020202020202,5.955270291987878,5.001285877605738,0.0008281241341991342,26131551.426617425,0.0005056724944890354,0.16909857056792904,18480
58,3960,4.893867496914699,6.614139499214752,0.3120786835970522,0.6116161616161616,5.148479883265151,4.945389554265433,0.0005002101731601727,83501909.46367694,0.0004444329826497895,0.1653800364004512,18480
59,3960,7.666507827799881,10.667508884028573,0.1124895183273514,0.5388888888888889,7.7315610996088395,0.8413989228158525,0.0003598523268398269,12075209.972740801,0.0004708527954278733,0.5551261584458811,18480
60,3960,6.04292549610006,8.05764929346828,0.12765383262389704,0.5277777777777778,6.0874372756479795,0.7312071982406002,0.00045964458874458893,29760679.395011365,0.0004896496531315618,0.2563149960342532,18480
61,3960,9.246142254845582,12.547980763416367,0.1047815454127905,0.5328282828282829,9.287454114288638,0.4448136048338361,0.0004747231060606057,8648295.099320889,0.0004642107467945647,0.36710429553949464,18480
62,3960,8.823398208316219,11.68538457103272,0.2894230106898365,0.5823232323232324,9.204360116488889,4.138928761492145,0.0010945884199134199,6514777.107240801,0.0006235178983562889,0.29698283333595527,18480
63,3960,4.839513675173103,6.6000381420269925,0.1253978163024463,0.5373737373737374,4.891025744766668,1.053195633833694,0.0002987312770562777,8802020.75160119,0.0003032828409521811,0.2342885862327261,18480
64,3960,6.90932150447494,9.298634937297301,0.32696459527865745,0.6176767676767677,7.3388045738664145,5.85222109498418,0.0008665732683982676,8066387.707458332,0.0004907372052408595,0.20831235558981892,18480
65,3960,5.1009027641906455,7.1008405310480684,0.21532643159965073,0.5416666666666666,5.165813542974495,1.2565451355116728,0.00022320508658008574,32280213.320916127,0.0002884832819302816,0.260093727454002,18480
66,3960,6.016213960495228,8.01921588313425,0.18497639116747674,0.5633838383838384,6.121052634430303,1.7127556352867788,0.00048738603896103755,12954616.454998376,0.0003625988429826015,0.35282955009057754,18480
67,3960,6.527190902887951,9.114277232914421,0.1664050525474358,0.5454545454545454,6.623962759534596,1.4609360009965384,0.0005135985930735933,57964729.1900671,0.0005596122889152315,0.2077723757127808,18480
68,3960,4.3822068059475,6.078833264097967,0.19775143916694676,0.5691919191919191,4.494907429095455,2.5072957547122265,0.0003026884199134202,25858747.006748915,0.00029724845988939887,0.17170962814572824,18480
69,3960,7.892280654324484,11.265609019917136,0.13867887264266687,0.5247474747474747,7.959993041588636,0.8506588750816124,0.0012506206141684403,4957343.081644877,0.00047279207407151176,0.5938132939512621,16445
70,3960,13.162114134185153,18.181201877207783,0.10621175208413801,0.5419191919191919,13.271321703705809,0.8228838992740378,0.0006984500541125535,4389602.953590368,0.000638822652261965,0.5428489949316947,18480
