metric,n_stocks,r_half,p,spearman_brown
MAE,200,0.9683264750286946,2.8278268984828592e-121,0.9839083986456852
corr,200,0.7245051584596537,7.799965787897832e-34,0.8402470179988205
MAE_reduction_vs_zero_pct,200,0.8190530071651794,1.1507044233237039e-49,0.9005268169085356
