model,MAE,RMSE,corr,directional_accuracy,n
A_additive_only,6.4545540284145435,9.62002748455867,0.09750749119047768,0.5396081798609752,791945
B_explicit_interaction,6.452403563966377,9.618221258248822,0.09958967870906202,0.5397003579794052,791945
C_lightgbm_2feature,6.441704782050504,9.611849558040813,0.10436712246836756,0.5409037243747987,791945
