feature_set,n_features,MAE,delta_MAE
raw,11,6.400625009474527,
+ imbalance,17,6.388175335402431,-0.012449674072096073
+ time,19,6.368630068731221,-0.019545266671209482
+ cross_sectional,25,6.36598526569505,-0.002644803036170984
