tier,n_rows,n_auctions,MAE,RMSE,corr,directional_accuracy,MAE_zero_baseline,MAE_reduction_vs_zero_pct,share_of_val_auctions_pct,corr_se_by_date,MAE_reduction_se_by_date
T1_low,214335,3897,5.873572786851653,8.551217507282727,0.18735410964867988,0.5536893181234983,5.985837969043105,1.8755132158947943,27.064379470796585,0.005367492704996519,0.08901044063343298
T2_mid,281985,5127,6.087479147063609,8.893730210582005,0.16805375132716457,0.5543982835966452,6.19926668593568,1.803238101139998,35.60663934995486,0.004831148303862608,0.07060944441947854
T3_high,295625,5375,6.988651740165028,10.680658516542804,0.1735636924170722,0.5596245243128964,7.125397888779928,1.9191370187232486,37.32898117924856,0.005960234725921541,0.07632886489136295
