feature,n,spearman_r,spearman_p,pearson_r,pearson_p,anova_f,anova_p
liquidity_imbalance,3642948,-0.13530508395932775,0.0,-0.121120573924244,0.0,8921.582939861968,0.0
auction_imbalance_ratio,3642870,0.021942477285091556,0.0,0.011925910140091471,1.0679766377086439e-114,372.1638558357407,0.0
matched_size_ratio,3642870,-0.0022290109723308747,2.096459741684216e-05,-0.007754536019809055,1.448355000523244e-49,28.131560060152513,8.138733869682988e-34
market_urgency,3642870,-0.14743427609349366,0.0,-0.1639215870946457,0.0,12053.329896661828,0.0
