window_start,signal,n_rows,mean_abs_shap_own,mean_abs_shap_family,family_share_of_total_pct
0,auction_imbalance_ratio,2162,0.14387478320793456,0.20010928803588435,6.595063526048011
60,auction_imbalance_ratio,2133,0.12719275469784924,0.16562260698385048,6.937510849914139
120,auction_imbalance_ratio,2169,0.12085263580318505,0.20854183276792396,8.886424635234896
180,auction_imbalance_ratio,2153,0.1405865203950618,0.2289593927056371,9.67931518388737
240,auction_imbalance_ratio,2204,0.18990811109313008,0.31905395597534214,11.426852396189211
300,auction_imbalance_ratio,2269,0.12203654747775561,0.346264975662232,11.34000371351065
360,auction_imbalance_ratio,2104,0.132876509189069,0.26110211917522674,9.837298806013626
420,auction_imbalance_ratio,2172,0.14705813291263015,0.23182828511932535,8.537344515786737
480,auction_imbalance_ratio,2634,0.10585841300367647,0.36155371174241346,12.952133007089648
0,liquidity_imbalance,2162,0.039149935351311796,0.056676369230108964,1.8679005815626761
60,liquidity_imbalance,2133,0.03454025528681785,0.047372233541807834,1.9843026876941012
120,liquidity_imbalance,2169,0.03299027124281639,0.0456979418566223,1.9472894761893627
180,liquidity_imbalance,2153,0.03368831338932722,0.04590870650976988,1.9408019681636066
240,liquidity_imbalance,2204,0.03430887735274125,0.04799160716816022,1.7188096279515968
300,liquidity_imbalance,2269,0.03330071334770094,0.04587380827852904,1.5023441375683304
360,liquidity_imbalance,2104,0.03456606160249986,0.04583347769858431,1.7268248027399182
420,liquidity_imbalance,2172,0.03386708910005896,0.04323037615463592,1.5920085618077693
480,liquidity_imbalance,2634,0.029771135434394476,0.038623444647407947,1.383628423711486
0,matched_size_ratio,2162,0.02805891454351033,0.02805891454351033,0.9247463008974334
60,matched_size_ratio,2133,0.018672584601069506,0.018672584601069506,0.7821471997388054
120,matched_size_ratio,2169,0.02009146038312468,0.02009146038312468,0.856141169072466
180,matched_size_ratio,2153,0.022603787331721272,0.022603787331721272,0.9555807226243748
240,matched_size_ratio,2204,0.03776569775200856,0.03776569775200856,1.352570766697054
300,matched_size_ratio,2269,0.024127796638318787,0.024127796638318787,0.7901731988748988
360,matched_size_ratio,2104,0.022234868582238238,0.022234868582238238,0.8377222170653114
420,matched_size_ratio,2172,0.024976882017506963,0.024976882017506963,0.9198025452496431
480,matched_size_ratio,2634,0.019256036154267336,0.019256036154267336,0.6898193362680392
0,market_urgency,2162,0.907646366702073,1.2456729391639576,41.054027262302995
60,market_urgency,2133,0.6243093641345282,0.9205332656701232,38.55880326117605
120,market_urgency,2169,0.6030675927389291,0.9027776020304216,38.46933258589529
180,market_urgency,2153,0.5807494555820455,0.8771344510648558,37.08107673668608
240,market_urgency,2204,0.639519006647145,0.9731532141355025,34.85328399332841
300,market_urgency,2269,0.626375670445514,0.9156958353452214,29.988577832342557
360,market_urgency,2104,0.457697136105011,0.7169519462821846,27.011923715554634
420,market_urgency,2172,0.4019117170609055,0.6510904451226073,23.977158085293837
480,market_urgency,2634,0.37992861116801124,0.6135632716670789,21.980006966596545
