feature,mean_abs_shap,share_pct
market_urgency,0.5759907888778306,21.431220887441512
ref_mid_dist,0.3057663680834167,11.376825291100877
seconds_in_bucket,0.1971453792869545,7.335301626382965
auction_imbalance_ratio_cs_z,0.19661027015843183,7.315391512968482
market_urgency_cs_rank,0.16986942281508835,6.3204294107983
market_urgency_cs_z,0.14133887851197313,5.258877023493219
auction_imbalance_ratio,0.13602217377408743,5.061055329412095
wap,0.10857450275461024,4.039794031796085
matched_size,0.10264355560939586,3.8191178668378467
bid_size,0.08825157226398497,3.2836270568462638
near_price,0.08797428433932253,3.2733098453949516
ask_size,0.07671626849712418,2.8544263685627485
far_near_dist,0.07453636371040213,2.773317396162601
auction_imbalance_ratio_cs_rank,0.06743482377745849,2.5090863114252673
imbalance_buy_sell_flag,0.06164272240909842,2.2935762612218333
bid_price,0.05438705919582124,2.0236106228622788
ask_price,0.0535997287904803,1.9943159671940274
far_price,0.03788108771276788,1.4094634391819558
imbalance_size,0.03740828901152869,1.3918717457083618
liquidity_imbalance,0.03391414639758861,1.2618631698464735
reference_price,0.028423757721219148,1.0575791174739995
matched_size_ratio,0.024123512339025537,0.8975774118294686
liquidity_imbalance_cs_z,0.018951759660021578,0.705149032454013
liquidity_imbalance_cs_rank,0.00840361990451884,0.3126783238647296
is_late_auction,1.4377441405056249e-05,0.0005349497396448164
