feature,liq_T1,liq_T2,liq_T3,liq_T1_share_pct,liq_T2_share_pct,liq_T3_share_pct,overall
market_urgency,0.8490404814605726,0.5296045248328788,0.3477673236620229,24.695106307318294,21.332300388885514,16.283364484189082,0.5759907888778331
ref_mid_dist,0.48463264171899556,0.2517817014709818,0.17921374898195525,14.095976421122932,10.141686175922631,8.391250691761938,0.305766368083416
seconds_in_bucket,0.20719975404514643,0.19399909893172235,0.19014028183775383,6.0265912694678825,7.814221479490837,8.9028591866772,0.19714537928695494
auction_imbalance_ratio_cs_z,0.20244988064636785,0.19347010411669735,0.19381837730438772,5.888436928078465,7.792913738017448,9.075077118080808,0.1966102701584312
market_urgency_cs_rank,0.21895220139798544,0.1668655021345372,0.12365685917739143,6.368421774710993,6.721288903638869,5.789933590518618,0.16986942281508893
market_urgency_cs_z,0.17348465968399696,0.1395902376330267,0.11086018617744156,5.045957415617278,5.622649998096788,5.1907603029049945,0.14133887851197255
auction_imbalance_ratio,0.13507367002903475,0.13570261701482658,0.1372824319480041,3.9287392221257074,5.466057886555371,6.427918106698614,0.13602217377408735
wap,0.13613189018513652,0.1025514130531065,0.08684585871176219,3.959518507474417,4.1307380242717455,4.066347454542175,0.10857450275461031
matched_size,0.13688471326522483,0.06846877686094674,0.10160155639692307,3.9814150440934974,2.7579003705041854,4.75724733868278,0.1026435556093958
bid_size,0.12385337775693488,0.07620625259647276,0.06432672533582066,3.602386926199809,3.069563411325144,3.011943456008697,0.08825157226398503
near_price,0.08418768401118708,0.0860850284226295,0.0936021170720664,2.448674535337489,3.467477332971746,4.382692924472238,0.08797428433932304
ask_size,0.1171407240031454,0.06333300275591318,0.04926489803789608,3.4071433522198227,2.5510330368600713,2.3067097925712208,0.07671626849712475
far_near_dist,0.07585867222029541,0.07650708377610614,0.07129616401565161,2.206417733568575,3.08168079474876,3.338270579209564,0.0745363637104016
auction_imbalance_ratio_cs_rank,0.0726842867973607,0.06425020854651334,0.06527691918522037,2.1140878774645175,2.5879777919104217,3.0564339866815753,0.06743482377745828
imbalance_buy_sell_flag,0.058501210614954564,0.062124964448239985,0.06431852581854555,1.7015603458128028,2.502373641306951,3.011559533427992,0.061642722409098204
bid_price,0.07609589117539373,0.047328424015116825,0.0395201200044036,2.2133174603097383,1.9063737386715314,1.8504341112737792,0.05438705919582119
ask_price,0.06618667466250863,0.05122376457434294,0.04331029604908651,1.9250989824499227,2.063276806961295,2.02789994488037,0.05359972879048019
far_price,0.03907164628972832,0.03675525591678601,0.037784155640041665,1.136433986123883,1.4804899190290375,1.769151775202606,0.03788108771276791
imbalance_size,0.041713429384234925,0.030120465757945303,0.04018603830862306,1.213272624309295,1.2132426995490415,1.8816141265498454,0.03740828901152863
liquidity_imbalance,0.04031854442085402,0.03206532278262539,0.029301054422391323,1.1727011401346963,1.2915809166875785,1.371951061723517,0.03391414639758834
reference_price,0.0333664221136912,0.027187128028493913,0.024678565254017727,0.9704924078236948,1.095088796678868,1.1555141775440418,0.028423757721219238
matched_size_ratio,0.031247361806819085,0.021869726313194865,0.019184043996519504,0.9088576322240633,0.8809055611505671,0.8982464982237183,0.024123512339025537
liquidity_imbalance_cs_z,0.02397683496389186,0.017736287326373487,0.01510349509169496,0.6973878175134243,0.7144119645676662,0.7071846571825767,0.018951759660021657
liquidity_imbalance_cs_rank,0.010023908681744305,0.007800405043765413,0.0073682681452455785,0.2915544027826447,0.3141978131721789,0.34500134907118585,0.008403619904518789
is_late_auction,1.5467484946055365e-05,1.4121488461834425e-05,1.3535176320317449e-05,0.00044988571615877705,0.0005688090257557615,0.0006337519208552436,1.4377441405055244e-05
