time_window,window_start,signal,n_train,n_val,pearson_r,pearson_p,spearman_r,spearman_p,mae_model,mae_baseline,mae_reduction_pct,decile_spread_bps,snr
0-60,0,liquidity_imbalance,397409,86394,-0.15148595548829066,0.0,-0.1668803246878345,0.0,6.570854745036938,6.640027919568232,1.041760296330086,-4.925962129139583,0.02348697365745016
0-60,0,auction_imbalance_ratio,397404,86394,-0.03037792191821751,4.2266891776084174e-19,-0.02662952946153292,4.939047570813223e-15,6.6360747654212195,6.640027049634864,0.059522110137516855,-0.648448795984375,0.0009236705199806053
0-60,0,matched_size_ratio,397404,86394,-0.010425650046666696,0.002180813612849745,-0.011125996512525157,0.0010743270033694303,6.639956905402022,6.640027049634864,0.0010563847453835572,-0.20938508125779867,0.00010870599460438584
0-60,0,market_urgency,397404,86394,-0.1786010746442714,0.0,-0.1814791652567961,0.0,6.5236966115941994,6.640027049634864,1.7519572913044337,-6.791131096334839,0.03294937433679012
60-120,60,liquidity_imbalance,397410,86394,-0.10322778898007631,2.7727250708766987e-203,-0.12171192434571186,2.3201753288822423e-282,6.011076639583915,6.044152814222986,0.5472425277077261,-3.4937305976873843,0.010770749267915191
60-120,60,auction_imbalance_ratio,397404,86394,-0.028110079093657783,1.4102601357177248e-16,0.009217526755050581,0.006742275312500898,6.043824091860523,6.044154073004594,0.005459509140334193,0.32201527089849535,0.0007908014193863543
60-120,60,matched_size_ratio,397404,86394,0.010323003192107775,0.002411245820897222,0.01248259660684401,0.00024342344926187858,6.044533235047119,6.044154073004594,-0.006273202799682714,0.026348722239018282,0.0001065757520847997
60-120,60,market_urgency,397404,86394,-0.10942263000319172,2.6417728747896723e-228,-0.12557609201225337,1.4042564766098644e-300,6.008573960924791,6.044154073004594,0.5886698394853536,-4.476982333102662,0.012118409453624055
120-180,120,liquidity_imbalance,397410,86394,-0.09565940787334351,9.921948630127371e-175,-0.11339892989665588,3.768621413415452e-245,6.391646410358001,6.426377108524082,0.5404397778028552,-3.5557137724791668,0.009235231352295365
120-180,120,auction_imbalance_ratio,397404,86394,0.016351969761812274,1.5354729846810282e-06,0.06491497400199607,2.513503198109464e-81,6.4238877215395656,6.42637670141801,0.038730687510046644,1.7509583290439814,0.00026745842997572927
120-180,120,matched_size_ratio,397404,86394,0.018137105672147283,9.747203386189633e-08,0.024167254527913885,1.2086289602660841e-12,6.42699789141535,6.42637670141801,-0.009666255593176342,0.5122934381395033,0.0003290628489011839
120-180,120,market_urgency,397404,86394,-0.07124603743909025,1.296686779432939e-97,-0.11511476147216866,1.3086681524644747e-252,6.405732959967639,6.42637670141801,0.32123453711974165,-4.026251665897801,0.005101895059127245
180-240,180,liquidity_imbalance,397410,86394,-0.09436399162446336,4.596942466521707e-170,-0.11282771373348972,1.0814618825617014e-242,6.684579696609155,6.718662948204044,0.5072921778878701,-3.5864975021148147,0.008984566553443648
180-240,180,auction_imbalance_ratio,397404,86394,0.053194271423999066,3.528417375023666e-55,0.06970284794820909,1.671582075592065e-93,6.710072643726663,6.718662728565216,0.1278540862310464,2.370380425774421,0.00283766004176789
180-240,180,matched_size_ratio,397404,86394,0.007944409992478441,0.019538611500441314,0.002689213138460685,0.4292787046797324,6.721633953387979,6.718662728565216,-0.04422345551191549,0.2226796989121616,6.31176337128424e-05
180-240,180,market_urgency,397404,86394,-0.08384149888965187,1.4924432104503705e-134,-0.11566910220987221,4.812437995162525e-255,6.691605412617685,6.718662728565216,0.402718770693666,-3.938597935486574,0.00707915915574278
240-300,240,liquidity_imbalance,397410,86394,-0.08501508856092244,2.6521234046190114e-138,-0.09406972598137076,5.168452454976221e-169,10.061360905232181,10.105087090678296,0.43271458280108455,-4.140969084197569,0.007280183282971523
240-300,240,auction_imbalance_ratio,397404,86394,0.09064358408204326,5.0560192819324345e-157,0.09207055929241875,5.816523607559201e-162,10.060438226077311,10.105087357842207,0.44184805320109344,6.872986480733912,0.008284325501980246
240-300,240,matched_size_ratio,397404,86394,-0.006479747867359761,0.05683528515833871,0.002022404281529714,0.5522216122191577,10.106539562087896,10.105087357842207,-0.01437102119223397,-0.459274169583625,4.1988895417865646e-05
240-300,240,market_urgency,397404,86394,-0.07397541490510212,4.182614754855645e-105,-0.0986715446437474,7.89608526968602e-186,10.051615366303004,10.105087357842207,0.5291591219912121,-5.142674740254398,0.005502473537531927
300-360,300,liquidity_imbalance,397416,86394,-0.11116707187754304,1.2801445945490733e-235,-0.12401812287452661,3.657693048091542e-293,6.20282760829919,6.2447242409333885,0.670912453740896,-3.6213934731568287,0.012512751933091874
