model,MAE,RMSE,corr,directional_accuracy,n
fold_1_stock_mean,6.007615133723951,8.659916984102583,0.00581804581368638,0.4995545911375057,525360
fold_2_stock_mean,6.481176627940742,9.374520217863878,0.007261697910432426,0.5007269329117691,527559
fold_3_stock_mean,6.392043892722179,9.554302276486505,0.0062650788877332214,0.5045397727272727,528000
fold_4_stock_mean,6.188711722351386,9.131177309006588,0.001287094892025706,0.5015124681548268,527945
