model,MAE,RMSE,corr,directional_accuracy,n
raw,6.46705952543871,9.63857350575269,0.07917494800772151,0.5290771455088421,791945
normalized,6.44112729899227,9.633398224420816,0.10802487916327828,0.5411007077511696,791945
imbalance,6.441945122910409,9.633948970362141,0.10697218916039544,0.5407761902657382,791945
time,6.486026235784774,9.663572195213595,0.011447375117259434,0.5084014672736111,791945
cross_sectional,6.443112771309375,9.627970830637128,0.10163414666916902,0.5412749622764207,791945
stock_relative,6.487901367007653,9.665828070539874,-0.0015083405676104297,0.5024414574244424,791945
bucket_relative,6.487385851720484,9.664200965770524,0.005633458651579199,0.5045274608716515,791945
